,0
2021-01-29,16374
2021-01-30,15337
2021-01-31,7030
2021-02-01,5448
2021-02-02,4384
2021-02-03,12153
2021-02-04,13575
2021-02-05,13051
2021-02-06,13209
2021-02-07,6065
2021-02-08,3868
2021-02-09,10738
2021-02-10,11138
2021-02-11,10677
2021-02-12,10388
2021-02-13,9741
2021-02-14,4099
2021-02-15,3098
2021-02-16,8683
2021-02-17,8988
2021-02-18,9099
2021-02-19,7829
2021-02-20,7785
2021-02-21,3104
2021-02-22,2252
2021-02-23,8634
2021-02-24,8642
2021-02-25,8462
2021-02-26,7512
2021-02-27,7246
2021-02-28,2810
2021-03-01,2343
2021-03-02,7913
2021-03-03,7793
2021-03-04,7521
2021-03-05,6797
2021-03-06,6561
2021-03-07,2734
2021-03-08,1877
2021-03-09,7407
2021-03-10,6674
2021-03-11,6470
2021-03-12,6743
2021-03-13,6104
2021-03-14,2415
2021-03-15,1439
2021-03-16,1278
2021-03-17,6455
2021-03-18,6726
2021-03-19,5722
2021-03-20,5729
2021-03-21,2133
2021-03-22,1388
2021-03-23,5881
2021-03-24,5714
2021-03-25,5787
2021-03-26,5303
2021-03-27,4922
2021-03-28,1783
2021-03-29,1292
2021-03-30,0
2021-03-31,11045
2021-04-01,5381
2021-04-02,3089
2021-04-03,1838
2021-04-04,1263
2021-04-05,1247
2021-04-06,4675
2021-04-07,5499
2021-04-08,5140
2021-04-09,5045
2021-04-10,6356
2021-04-11,1793
2021-04-12,1627
2021-04-13,4293
2021-04-14,5113
2021-04-15,4189
2021-04-16,4504
2021-04-17,4157
2021-04-18,1506
2021-04-19,1308
2021-04-20,4262
2021-04-21,4639
2021-04-22,3708
2021-04-23,3911
2021-04-24,3308
2021-04-25,1653
2021-04-26,1143
2021-04-27,3592
2021-04-28,3818
2021-04-29,3990
2021-04-30,3821
2021-05-01,3025
2021-05-02,1093
2021-05-03,1027
2021-05-04,3064
2021-05-05,3021
2021-05-06,2846
2021-05-07,3043
2021-05-08,2743
2021-05-09,1175
2021-05-10,704
2021-05-11,1897
2021-05-12,3090
2021-05-13,3632
2021-05-14,2880
2021-05-15,2695
2021-05-16,1233
2021-05-17,822
2021-05-18,2767
2021-05-19,2000
2021-05-20,2628
2021-05-21,2604
2021-05-22,2586
2021-05-23,1274
2021-05-24,703
2021-05-25,2483
2021-05-26,2932
2021-05-27,3050
2021-05-28,3006
2021-05-29,2725
2021-05-30,1307
2021-05-31,932
2021-06-01,6917
2021-06-02,3269
2021-06-03,2894
2021-06-04,2809
2021-06-05,2649
2021-06-06,1401
2021-06-07,881
2021-06-08,3449
2021-06-09,3855
2021-06-10,3672
2021-06-11,3282
2021-06-12,3649
2021-06-13,1707
2021-06-14,1175
2021-06-15,4250
2021-06-16,3789
2021-06-17,4253
2021-06-18,4098
2021-06-19,3964
2021-06-20,1578
2021-06-21,1268
2021-06-22,4233
2021-06-23,4963
2021-06-24,5340
2021-06-25,5270
2021-06-26,5051
2021-06-27,2384
2021-06-28,1661
2021-06-29,5711
2021-06-30,6105
2021-07-01,6031
2021-07-02,5929
2021-07-03,6228
2021-07-04,2611
2021-07-05,1805
2021-07-06,7989
2021-07-07,8507
2021-07-08,9452
2021-07-09,9319
2021-07-10,9581
2021-07-11,3779
2021-07-12,3074
2021-07-13,11137
2021-07-14,12116
2021-07-15,12821
2021-07-16,12420
2021-07-17,12631
2021-07-18,4438
2021-07-19,5307
2021-07-20,13853
2021-07-21,15198
2021-07-22,16244
2021-07-23,16421
2021-07-24,15823
2021-07-25,6535
2021-07-26,5920
2021-07-27,17408
2021-07-28,19028
2021-07-29,19223
2021-07-30,19346
2021-07-31,18809
2021-08-01,6740
2021-08-02,6506
2021-08-03,18911
2021-08-04,20685
2021-08-05,21569
2021-08-06,21563
2021-08-07,20018
2021-08-08,7573
2021-08-09,6513
2021-08-10,19555
2021-08-11,22711
2021-08-12,24975
2021-08-13,22758
2021-08-14,23642
2021-08-15,9295
2021-08-16,7172
2021-08-17,14814
2021-08-18,28953
2021-08-19,23006
2021-08-20,21897
2021-08-21,20307
2021-08-22,7658
2021-08-23,6543
2021-08-24,18262
2021-08-25,21250
2021-08-26,20633
2021-08-27,19556
2021-08-28,17546
2021-08-29,6837
2021-08-30,5564
2021-08-31,11146
2021-09-01,17337
2021-09-02,18138
2021-09-03,17409
2021-09-04,15586
2021-09-05,7504
2021-09-06,5127
2021-09-07,15784
2021-09-08,15876
2021-09-09,14828
2021-09-10,14233
2021-09-11,12511
2021-09-12,5139
2021-09-13,4161
2021-09-14,12929
2021-09-15,13217
2021-09-16,7040
2021-09-17,3754
2021-09-18,11711
2021-09-19,0
2021-09-20,8350
2021-09-21,12521
2021-09-22,11603
2021-09-23,11808
2021-09-24,10139
2021-09-25,9697
2021-09-26,3988
2021-09-27,3007
2021-09-28,9792
2021-09-29,9796
2021-09-30,8828
2021-10-01,7388
2021-10-02,7369
2021-10-03,2980
2021-10-04,2282
2021-10-05,7682
2021-10-06,0
2021-10-07,15310
2021-10-08,7158
2021-10-09,6153
2021-10-10,2690
2021-10-11,2007
2021-10-12,7187
2021-10-13,6320
2021-10-14,5825
2021-10-15,5286
2021-10-16,5203
2021-10-17,1993
2021-10-18,1413
2021-10-19,3820
2021-10-20,5469
2021-10-21,4798
2021-10-22,4653
2021-10-23,4452
2021-10-24,1666
2021-10-25,1121
2021-10-26,4538
2021-10-27,4797
2021-10-28,4503
2021-10-29,4001
2021-10-30,3478
2021-10-31,1446
2021-11-01,994
2021-11-02,3588
2021-11-03,2660
2021-11-04,3763
2021-11-05,3614
2021-11-06,3574
2021-11-07,1382
2021-11-08,810
2021-11-09,3663
2021-11-10,3556
2021-11-11,3493
2021-11-12,3353
2021-11-13,3130
2021-11-14,942
2021-11-15,775
2021-11-16,735
