,0
2021-05-07,2361874
2021-05-08,2364617
2021-05-09,2365792
2021-05-10,2366496
2021-05-11,2368393
2021-05-12,2371483
2021-05-13,2375115
2021-05-14,2377995
2021-05-15,2380690
2021-05-16,2381923
2021-05-17,2382745
2021-05-18,2385512
2021-05-19,2387512
2021-05-20,2390140
2021-05-21,2392744
2021-05-22,2395330
2021-05-23,2396604
2021-05-24,2397307
2021-05-25,2399790
2021-05-26,2402722
2021-05-27,2405772
2021-05-28,2408778
2021-05-29,2411503
2021-05-30,2412810
2021-05-31,2413742
2021-06-01,2420659
2021-06-02,2423928
2021-06-03,2426822
2021-06-04,2429631
2021-06-05,2432280
2021-06-06,2433681
2021-06-07,2434562
2021-06-08,2438011
2021-06-09,2441866
2021-06-10,2445538
2021-06-11,2448820
2021-06-12,2452469
2021-06-13,2454176
2021-06-14,2455351
2021-06-15,2459601
2021-06-16,2463390
2021-06-17,2467643
2021-06-18,2471741
2021-06-19,2475705
2021-06-20,2477283
2021-06-21,2478551
2021-06-22,2482784
2021-06-23,2487747
2021-06-24,2493087
2021-06-25,2498357
2021-06-26,2503408
2021-06-27,2505792
2021-06-28,2507453
2021-06-29,2513164
2021-06-30,2519269
2021-07-01,2525300
2021-07-02,2531229
2021-07-03,2537457
2021-07-04,2540068
2021-07-05,2541873
2021-07-06,2549862
2021-07-07,2558369
2021-07-08,2567821
2021-07-09,2577140
2021-07-10,2586721
2021-07-11,2590500
2021-07-12,2593574
2021-07-13,2604711
2021-07-14,2616827
2021-07-15,2629648
2021-07-16,2642068
2021-07-17,2654699
2021-07-18,2659137
2021-07-19,2664444
2021-07-20,2678297
2021-07-21,2693495
2021-07-22,2709739
2021-07-23,2726160
2021-07-24,2741983
2021-07-25,2748518
2021-07-26,2754438
2021-07-27,2771846
2021-07-28,2790874
2021-07-29,2810097
2021-07-30,2829443
2021-07-31,2848252
2021-08-01,2854992
2021-08-02,2861498
2021-08-03,2880409
2021-08-04,2901094
2021-08-05,2922663
2021-08-06,2944226
2021-08-07,2964244
2021-08-08,2971817
2021-08-09,2978330
2021-08-10,2997885
2021-08-11,3020596
2021-08-12,3045571
2021-08-13,3068329
2021-08-14,3091971
2021-08-15,3101266
2021-08-16,3108438
2021-08-17,3123252
2021-08-18,3152205
2021-08-19,3175211
2021-08-20,3197108
2021-08-21,3217415
2021-08-22,3225073
2021-08-23,3231616
2021-08-24,3249878
2021-08-25,3271128
2021-08-26,3291761
2021-08-27,3311317
2021-08-28,3328863
2021-08-29,3335700
2021-08-30,3341264
2021-08-31,3352410
2021-09-01,3369747
2021-09-02,3387885
2021-09-03,3405294
2021-09-04,3420880
2021-09-05,3428384
2021-09-06,3433511
2021-09-07,3449295
2021-09-08,3465171
2021-09-09,3479999
2021-09-10,3494232
2021-09-11,3506743
2021-09-12,3511882
2021-09-13,3516043
2021-09-14,3528972
2021-09-15,3542189
2021-09-16,3549229
2021-09-17,3552983
2021-09-18,3564694
2021-09-19,3564694
2021-09-20,3573044
2021-09-21,3585565
2021-09-22,3597168
2021-09-23,3608976
2021-09-24,3619115
2021-09-25,3628812
2021-09-26,3632800
2021-09-27,3635807
2021-09-28,3645599
2021-09-29,3655395
2021-09-30,3664223
2021-10-01,3671611
2021-10-02,3678980
2021-10-03,3681960
2021-10-04,3684242
2021-10-05,3691924
2021-10-06,3691924
2021-10-07,3707234
2021-10-08,3714392
2021-10-09,3720545
2021-10-10,3723235
2021-10-11,3725242
2021-10-12,3732429
2021-10-13,3738749
2021-10-14,3744574
2021-10-15,3749860
2021-10-16,3755063
2021-10-17,3757056
2021-10-18,3758469
2021-10-19,3762289
2021-10-20,3767758
2021-10-21,3772556
2021-10-22,3777209
2021-10-23,3781661
2021-10-24,3783327
2021-10-25,3784448
2021-10-26,3788986
2021-10-27,3793783
2021-10-28,3798286
2021-10-29,3802287
2021-10-30,3805765
2021-10-31,3807211
2021-11-01,3808205
2021-11-02,3811793
2021-11-03,3814453
2021-11-04,3818216
2021-11-05,3821830
2021-11-06,3825404
2021-11-07,3826786
2021-11-08,3827596
2021-11-09,3831259
2021-11-10,3834815
2021-11-11,3838308
2021-11-12,3841661
2021-11-13,3844791
2021-11-14,3845733
2021-11-15,3846508
2021-11-16,3847243
2021-11-17,3851079
2021-11-18,3854994
2021-11-19,3858831
2021-11-20,3862137
2021-11-21,3863362
2021-11-22,3864278
2021-11-23,3867976
2021-11-24,3872263
2021-11-25,3876391
2021-11-26,3879836
2021-11-27,3883792
2021-11-28,3883842
2021-11-29,3884566
2021-11-30,3887873
2021-12-01,3891218
2021-12-02,3894364
2021-12-03,3897452
