,0
2021-02-25,877
2021-02-26,782
2021-02-27,783
2021-02-28,458
2021-03-01,437
2021-03-02,1035
2021-03-03,857
2021-03-04,822
2021-03-05,712
2021-03-06,779
2021-03-07,247
2021-03-08,319
2021-03-09,866
2021-03-10,699
2021-03-11,654
2021-03-12,709
2021-03-13,639
2021-03-14,220
2021-03-15,234
2021-03-16,175
2021-03-17,789
2021-03-18,698
2021-03-19,613
2021-03-20,608
2021-03-21,209
2021-03-22,203
2021-03-23,809
2021-03-24,579
2021-03-25,584
2021-03-26,651
2021-03-27,567
2021-03-28,194
2021-03-29,203
2021-03-30,807
2021-03-31,577
2021-04-01,454
2021-04-02,190
2021-04-03,157
2021-04-04,136
2021-04-05,252
2021-04-06,603
2021-04-07,596
2021-04-08,548
2021-04-09,874
2021-04-10,2192
2021-04-11,126
2021-04-12,364
2021-04-13,592
2021-04-14,518
2021-04-15,401
2021-04-16,480
2021-04-17,535
2021-04-18,111
2021-04-19,127
2021-04-20,582
2021-04-21,549
2021-04-22,498
2021-04-23,409
2021-04-24,349
2021-04-25,94
2021-04-26,166
2021-04-27,434
2021-04-28,371
2021-04-29,529
2021-04-30,460
2021-05-01,261
2021-05-02,65
2021-05-03,112
2021-05-04,395
2021-05-05,267
2021-05-06,166
2021-05-07,484
2021-05-08,271
2021-05-09,57
2021-05-10,104
2021-05-11,234
2021-05-12,267
2021-05-13,311
2021-05-14,258
2021-05-15,225
2021-05-16,53
2021-05-17,56
2021-05-18,253
2021-05-19,104
2021-05-20,230
2021-05-21,176
2021-05-22,341
2021-05-23,50
2021-05-24,48
2021-05-25,265
2021-05-26,272
2021-05-27,429
2021-05-28,411
2021-05-29,383
2021-05-30,52
2021-05-31,61
2021-06-01,4272
2021-06-02,306
2021-06-03,216
2021-06-04,206
2021-06-05,186
2021-06-06,50
2021-06-07,34
2021-06-08,262
2021-06-09,253
2021-06-10,227
2021-06-11,243
2021-06-12,274
2021-06-13,53
2021-06-14,37
2021-06-15,241
2021-06-16,196
2021-06-17,168
2021-06-18,167
2021-06-19,192
2021-06-20,36
2021-06-21,57
2021-06-22,261
2021-06-23,342
2021-06-24,221
2021-06-25,278
2021-06-26,175
2021-06-27,43
2021-06-28,44
2021-06-29,195
2021-06-30,244
2021-07-01,201
2021-07-02,177
2021-07-03,155
2021-07-04,42
2021-07-05,67
2021-07-06,269
2021-07-07,234
2021-07-08,266
2021-07-09,217
2021-07-10,232
2021-07-11,62
2021-07-12,89
2021-07-13,219
2021-07-14,230
2021-07-15,233
2021-07-16,275
2021-07-17,225
2021-07-18,91
2021-07-19,138
2021-07-20,341
2021-07-21,397
2021-07-22,419
2021-07-23,328
2021-07-24,362
2021-07-25,108
2021-07-26,171
2021-07-27,484
2021-07-28,-463
2021-07-29,1381
2021-07-30,459
2021-07-31,450
2021-08-01,128
2021-08-02,845
2021-08-03,57
2021-08-04,611
2021-08-05,618
2021-08-06,568
2021-08-07,515
2021-08-08,172
2021-08-09,270
2021-08-10,586
2021-08-11,927
2021-08-12,608
2021-08-13,603
2021-08-14,753
2021-08-15,213
2021-08-16,272
2021-08-17,877
2021-08-18,940
2021-08-19,850
2021-08-20,761
2021-08-21,847
2021-08-22,228
2021-08-23,371
2021-08-24,940
2021-08-25,986
2021-08-26,835
2021-08-27,863
2021-08-28,756
2021-08-29,259
2021-08-30,326
2021-08-31,835
2021-09-01,1177
2021-09-02,953
2021-09-03,765
2021-09-04,647
2021-09-05,272
2021-09-06,330
2021-09-07,1071
2021-09-08,879
2021-09-09,730
2021-09-10,699
2021-09-11,675
2021-09-12,224
2021-09-13,221
2021-09-14,1047
2021-09-15,897
2021-09-16,435
2021-09-17,190
2021-09-18,765
2021-09-19,0
2021-09-20,462
2021-09-21,815
2021-09-22,811
2021-09-23,748
2021-09-24,564
2021-09-25,596
2021-09-26,151
2021-09-27,226
2021-09-28,700
2021-09-29,597
2021-09-30,534
2021-10-01,471
2021-10-02,614
2021-10-03,211
2021-10-04,303
2021-10-05,788
2021-10-06,2
2021-10-07,1225
2021-10-08,489
2021-10-09,348
2021-10-10,68
2021-10-11,201
2021-10-12,546
2021-10-13,420
2021-10-14,381
2021-10-15,434
2021-10-16,313
2021-10-17,60
2021-10-18,96
2021-10-19,448
2021-10-20,422
2021-10-21,322
2021-10-22,284
2021-10-23,306
2021-10-24,87
2021-10-25,150
2021-10-26,392
2021-10-27,386
2021-10-28,357
2021-10-29,320
2021-10-30,325
2021-10-31,89
2021-11-01,99
2021-11-02,269
2021-11-03,134
2021-11-04,264
2021-11-05,282
2021-11-06,261
2021-11-07,60
2021-11-08,77
2021-11-09,299
2021-11-10,264
2021-11-11,256
2021-11-12,242
2021-11-13,217
2021-11-14,58
2021-11-15,57
2021-11-16,37
